Scopus - Author details

,
,

"Author Name","Auth-ID","Number of Documents","Subject Area","Orc_ID"

"Ávalos-Allele, Daniela","57216912419","1","Medicine
Biochemistry, Genetics and Molecular Biology
"
"Antonia Cooper, S.","57413801200","1","Medicine
"
"Carmona M, Fernando","57195264983","1","Medicine
"
"Álvarez-Ponce, David","57208888246","1","Health Professions
Medicine
"
"Santander, Miguel","57214749187","1","Medicine
Health Professions
"
"Dorlhiac, Raimundo Avilés","57287130400","3","Multidisciplinary
Medicine
"
"Cádiz, Marcelo","57224073133","1","Medicine
"
"Decombe, Trinidad Avaria","60744195900","1","Arts and Humanities
"
"Godoy, Loreto M.","16307086000","8","Medicine
Immunology and Microbiology
Nursing
Engineering
Materials Science
Chemical Engineering
Biochemistry, Genetics and Molecular Biology
"
"Rivera Ugalde, Ignacio","55886689200","1","Medicine
Social Sciences
"
"Nazal, Leyla","6507673174","14","Medicine
Biochemistry, Genetics and Molecular Biology
Nursing
Agricultural and Biological Sciences
"
"Martin, Paula Andrea Quiñones San","59533750400","1","Medicine
Nursing
"
"Fernández, Joaquín","60479253500","1","Arts and Humanities
Social Sciences
"
"López, Camila","57410351000","1","Medicine
"
"Garcia, Katerine","59753589000","1","Medicine
"
"Candia-Véjar, Alfredo","12760430500","30","Computer Science
Decision Sciences
Mathematics
Engineering
Business, Management and Accounting
Agricultural and Biological Sciences
Materials Science
Economics, Econometrics and Finance
Social Sciences
Environmental Science
Energy
","0000-0003-2953-6522"
"Figueroa, Daniela","58917104400","3","Social Sciences
Arts and Humanities
Business, Management and Accounting
"
"Bustos Arriagada, Edson","57189844110","18","Nursing
Medicine
Agricultural and Biological Sciences
Chemical Engineering
Engineering
Physics and Astronomy
Materials Science
Biochemistry, Genetics and Molecular Biology
Computer Science
","0000-0003-4698-1425"
"Asfura Inostroza, Jorge","57190013904","1","Medicine
"
"Esis Villarroel, Ivette S.","60084490700","1","Social Sciences
"
"Caffarena-Barcenilla, Paula","57549937000","1","Medicine
"
"Hernández Cortina, Abdul Hernández","51461053900","17","Medicine
Nursing
Social Sciences
Arts and Humanities
"
"Patiño, Angélica B.","57221495129","1","Medicine
"
"Rodríguez, Ivan","58063024000","1","Agricultural and Biological Sciences
Nursing
"
"Marchant, Pablo","60368588000","1","Medicine
"
"Muñoz, Francisco","58287521900","1","Medicine
"
"Aedo, Sócrates","6506912454","53","Medicine
Biochemistry, Genetics and Molecular Biology
Chemistry
Computer Science
Health Professions
Chemical Engineering
Nursing
"
"Martineau, Pia Dortty Huguette Chieyssal","59403217500","1","Medicine
"
"Losada, Pilar Busquets","57192640958","4","Nursing
Social Sciences
Arts and Humanities
Medicine
"
"Herrera, Exciel Zamorano","57212221813","1","Medicine
"
"Caffarena, Paula","60513695700","3","Arts and Humanities
Social Sciences
Medicine
"
"Cartagena, Sebastián","57204150312","1","Medicine
"
"González, G.","57213075832","1","Health Professions
"
"Valladares, Denisse M.","23026056100","11","Medicine
Biochemistry, Genetics and Molecular Biology
Agricultural and Biological Sciences
Pharmacology, Toxicology and Pharmaceutics
"
"Ballesteros P, Polentze","58242709100","1","Medicine
"
"Hube-Antoine, Cristina","58125684800","1","Environmental Science
Engineering
"
"Morales, Juan Pablo","56217405500","9","Medicine
Biochemistry, Genetics and Molecular Biology
Neuroscience
Psychology
Multidisciplinary
Decision Sciences
Social Sciences
"
"Zamorano, V. Sebastián R.","60653373000","1","Dentistry
"
"Hanisch, Maximiliano Silva","57222051012","1","Social Sciences
"
"Cassasa, Mariela Avendaño","57218896371","1","Economics, Econometrics and Finance
Social Sciences
"
"Torres, Karina Ordóñez","59347149000","1","Medicine
Social Sciences
"
"Álvarez, Francisca","57488448100","1","Medicine
"
"Kuramochi, Gisaku","55941042800","6","Medicine
Immunology and Microbiology
Biochemistry, Genetics and Molecular Biology
Dentistry
"
"Gálvez-Bravo, Francisca","58756450600","2","Medicine
Agricultural and Biological Sciences
Nursing
Dentistry
"
"Samtani, Suraj Rajesh","57202323325","27","Medicine
Biochemistry, Genetics and Molecular Biology
Chemistry
Computer Science
Nursing
Pharmacology, Toxicology and Pharmaceutics
Chemical Engineering
"
"Byron, Valenzuela C.","57197798559","1","Medicine
"
"Bopp, María Jesús","60117124400","1","Computer Science
Mathematics
Engineering
Decision Sciences
"
"Terzi, Sergio","60738934200","1","Medicine
Multidisciplinary
"
"Suazo, G.","57192878104","1","Medicine
"
"Altamirano, Matías","59228527700","1","Computer Science
Energy
Environmental Science
Social Sciences
"
"Sierra, Magdalena","55974138700","1","Engineering
Social Sciences
"
"Cangas, José","57190616761","1","Medicine
Health Professions
"
"Rodríguez V, Diego","56155022200","2","Medicine
"
"Gahona Gutiérrez, Osvaldo","57193956813","2","Medicine
Dentistry
"
"Penroz, Silvana","59402075500","1","Chemistry
Biochemistry, Genetics and Molecular Biology
Chemical Engineering
Medicine
Computer Science
"
"Ponce, Paloma","60619681700","1","Computer Science
Energy
Mathematics
Engineering
Decision Sciences
"
"Moreno Ramírez, Paola","55944650500","1","Medicine
"
"Gatica, Alejandra","58862786700","2","Medicine
Materials Science
Chemical Engineering
Engineering
"
"Ferre, Andrés","57196003508","34","Medicine
Nursing
Environmental Science
Engineering
Health Professions
Materials Science
Social Sciences
Biochemistry, Genetics and Molecular Biology
"
"López, Valentín","57224137082","1","Medicine
Nursing
"
"Cortés, Pablo","57217273295","13","Agricultural and Biological Sciences
Chemical Engineering
Engineering
Medicine
Biochemistry, Genetics and Molecular Biology
Economics, Econometrics and Finance
Business, Management and Accounting
Chemistry
Environmental Science
Nursing
","0000-0003-3076-0804"
"Rocco-Toloza, Víctor","60608355200","1","Agricultural and Biological Sciences
Environmental Science
","0000-0002-5555-9720"
"Ramírez, Cecilia G.","56489832000","1","Social Sciences
"
"Canihuante, Carola Zañartu","58309977600","1","Social Sciences
"
"Almendras-Chacana, Rocío Alejandra","60109225300","1","Social Sciences
"
"Basfi-Fer, Karen","24485529700","32","Medicine
Nursing
Biochemistry, Genetics and Molecular Biology
Agricultural and Biological Sciences
Chemistry
Social Sciences
"
"Pizarro, Carolina Carrasco","57956550800","1","Social Sciences
Environmental Science
"
"Cruzat, Joaquín Palma","58306940200","1","Social Sciences
"
"Olavarría, Nicolás","58482097200","1","Medicine
"
"Ríos, Loreto","36342822600","9","Medicine
Neuroscience
Psychology
"
"Bilicic Ubierna, Daniza Belén","57224137094","2","Medicine
"
"Silva-Figueroa, Angélica","60453296200","2","Medicine
"
"Domínguez, Diego","58117658100","1","Medicine
"
"Vega, Ernesto","57224080945","2","Medicine
"
"Marquez, Pablo","57189348374","1","Medicine
Health Professions
"
"de Guevara, David Ladrón H.","6504597632","11","Medicine
"
"Tapia, German","57216912680","3","Medicine
Biochemistry, Genetics and Molecular Biology
"
"Muszalski, Hernán","57223206591","6","Arts and Humanities
"
"Álamos-Vial, Nicolás","59538409900","1","Psychology
"
"Castro-Sepúlveda, Mauricio A.","56076763200","68","Medicine
Biochemistry, Genetics and Molecular Biology
Nursing
Health Professions
Agricultural and Biological Sciences
Chemistry
Pharmacology, Toxicology and Pharmaceutics
Chemical Engineering
Neuroscience
Immunology and Microbiology
Engineering
Multidisciplinary
Computer Science
"
"Romero, Camila","59181075700","1","Medicine
Pharmacology, Toxicology and Pharmaceutics
Biochemistry, Genetics and Molecular Biology
"
"Figueroa-Bustos, Arturo Alejandro","57245866600","5","Social Sciences
Arts and Humanities
Computer Science
"
"Barriga P, Patricio","57189236533","4","Medicine
Biochemistry, Genetics and Molecular Biology
Dentistry
"
"Letelier, Karis","57163897900","4","Medicine
Engineering
Health Professions
Biochemistry, Genetics and Molecular Biology
Agricultural and Biological Sciences
Chemistry
"
"Jara S, Natalia","55865780000","1","Medicine
"
